Gene	BH1	BH2	BH3	BPH1	BPH2	BPH3	BPH4	BPH5	BPH6	HH1	HH2	HH3	HPH1	HPH2	HPH3	HPH4	HPH5	HPH6	SMH1	SMH2	SMH3	SMPH1	SMPH2	SMPH3	SMPH4	SMPH5	SMPH6
ZBTB10	79.46783784	63.05770491	71.24352006	64.4040016	56.94214383	54.01537474	53.42371553	45.34478761	45.35927527	84.97976836	68.14334997	95.8661333	72.00429115	67.81585332	68.79019802	65.06014029	56.56419324	56.74502887	75.23072849	66.51826974	65.73921743	23.09724866	34.12226149	38.63740921	20.59216863	30.32654634	30.55204151
Pvit_00068	7.534728328	4.292830025	6.613929208	0.851690197	1.576253116	1.500427076	0.73183172	0.896142048	0.982389084	14.87271137	3.352035338	13.52651958	12.16029917	7.268790767	9.281569649	4.149096635	6.278451048	8.172289977	1.03011695	0.455604587	0.656234114	1.460851624	0.856114088	0.319647646	0.289012893	1.583451909	0.695022745
ZNF704	13.97064211	13.16708369	24.11927445	8.15189189	7.060300417	7.604437227	8.928346978	13.29874799	12.974311	4.056194011	4.542889998	6.591104085	9.192037168	10.96212229	14.21101573	9.681225482	8.487535676	12.78229971	0.515058475	0.976295544	0.501826087	0.552754669	0.611510063	1.31854654	0.903165291	0.791725954	1.042534118
PAG1	34.10249436	33.65723036	34.4355662	40.43500604	50.3415839	41.22764398	48.15452715	35.70229917	27.77789822	28.09289926	13.05529553	50.22027814	21.68746269	21.29559241	19.05164296	19.88108804	21.45137441	26.36087382	3.186924314	4.458416318	7.913411376	11.8447429	7.745794126	9.789209159	11.09086977	11.32512343	9.701359152
MRPL53	9.18295015	7.503433993	8.662809452	14.72207341	17.27310707	18.4143323	19.68627326	21.14895232	18.69926807	12.2186585	16.31911941	13.82164364	55.91822611	43.96636145	41.07871735	67.88383106	70.6907081	39.47844697	8.176553289	16.85736973	19.14659533	24.3606879	27.64025483	28.56850836	25.61376765	27.53829406	18.53393987
FABP5	45.79702062	67.85557376	12.04166459	119.8855345	46.66365996	100.8355196	94.73561609	80.58109292	21.07055207	1.502294078	2.249392135	5.115483768	2.393759679	3.02538859	5.373540323	6.396523979	2.383486046	0.796274408	0.160955773	0.162715924	1.003652174	0.592237145	0.3261387	1.837973965	0.505772563	0.688457352	0.231674248
PMP2	185.3464682	119.9827955	21.99850367	978.9976036	837.2859522	589.7360421	528.3459099	941.056687	295.6991141	10.11544679	30.52116387	88.88153046	12.59117591	63.65103266	61.15177707	24.31831639	6.859789108	41.2386325	2.156807364	2.635997969	2.509130436	5.211686876	22.34050095	21.81595184	5.924764308	8.743408365	11.90226451
F1NDE8	3.728120787	6.926246763	3.594526744	16.50656716	31.16383765	11.11680061	21.29630304	18.4246805	4.945820903	31.79855799	66.11448647	263.3982267	98.09627165	178.9694159	171.3759678	94.50720113	53.83190436	125.6018106	6.5348044	6.150661928	5.944709033	17.45125454	37.95439122	40.71511891	27.70911112	38.89784036	41.67240543
IMPA1	12.16544678	20.81481449	11.25086871	54.0620492	44.13508726	51.83293536	65.60871366	70.25753653	47.73055927	6.109329251	27.25733999	9.247220657	27.67186189	18.46665762	22.73762517	43.39263564	39.99605853	22.04422835	2.961586231	4.230614025	2.81794649	4.382554873	10.72180976	12.14661055	14.81191077	16.66066791	9.266969936
ZFAND1	10.71344184	8.188843829	6.86554608	14.60040338	11.98609141	11.18500184	18.88125836	14.87595799	15.75210082	4.80734105	8.821145627	5.164671112	22.02258905	13.8696386	15.32125134	23.22341589	14.99852195	13.70430165	1.062308105	4.621132242	2.547732443	8.962522128	5.952031275	7.71149946	9.140032744	6.609190575	4.14117719
SNX16	14.16685899	21.31985332	11.46654031	17.64215409	12.80705657	13.57204492	21.22311987	20.57542141	13.55019426	12.7194232	38.68072357	17.41231975	22.30984021	14.73403534	18.34109218	20.51497781	18.89348695	16.59603503	5.987554771	11.84571927	8.91706355	4.501002302	5.177451863	6.273085053	13.6558592	10.25801454	7.876924446
LRRC55	39.40035022	37.44502156	49.35285219	33.90538119	35.23582487	66.8031055	54.265322	50.57825716	77.03285434	0.050076469	0.044105728	0	0	0.039290761	0.843779059	0.057626342	0.174401418	0	0	0	0	0	0.081534675	0.079911912	0	0	0.028959281
TNKS1BP1	207.518976	264.2796031	225.5565532	147.8696409	142.8151001	147.8261676	117.7151321	133.8477762	117.7173126	166.9549486	171.2625423	144.168105	117.6293506	82.54988866	114.1322201	69.09398424	55.40151712	68.0605073	127.8632664	91.41380612	116.5394583	39.83781862	51.69298395	60.57322892	41.97912272	49.29354637	43.75747367
SSRP1	53.84191284	67.67520275	59.81292501	75.59764419	79.69929819	88.45699626	102.163708	99.25669319	99.05192001	57.73816907	63.95330579	48.59709579	61.61537414	56.14649733	63.15020115	55.60942018	54.52951003	57.58321246	22.43723481	24.89553638	27.52323078	14.64799872	22.38126829	21.49630419	19.72512995	26.2302251	21.80633863
SLC43A3	68.16574534	48.70017255	71.67486327	83.384526	98.1874337	89.00260611	102.7491734	95.70797068	116.0235383	28.39335808	13.93741009	11.3130891	71.47766402	28.28934785	68.34610378	87.24628202	36.856833	73.76015569	4.023894335	2.603454784	2.354722409	6.040818879	9.702626326	10.82806401	5.057725629	17.7277768	8.54298791
